,precision,recall,f1-score,support
anger,0.0,0.0,0.0,22.0
boredom,1.0,0.027777777777777776,0.05405405405405406,36.0
empty,0.0,0.0,0.0,165.0
enthusiasm,0.0,0.0,0.0,152.0
fun,0.1724137931034483,0.014084507042253521,0.026041666666666668,355.0
happiness,0.34473447344734476,0.3675623800383877,0.355782628889921,1042.0
hate,0.42857142857142855,0.1018867924528302,0.16463414634146342,265.0
love,0.5330948121645797,0.3880208333333333,0.44913338357196686,768.0
neutral,0.33575883575883575,0.5607638888888888,0.42002600780234073,1728.0
relief,0.22857142857142856,0.02622950819672131,0.047058823529411764,305.0
sadness,0.3585164835164835,0.2526621490803485,0.29642248722316866,1033.0
surprise,0.27941176470588236,0.043478260869565216,0.07524752475247524,437.0
worry,0.35027799841143764,0.5212765957446809,0.4190023752969121,1692.0
accuracy,0.356625,0.356625,0.356625,0.356625
macro avg,0.31010392448083607,0.1772109764172913,0.17749254600987546,8000.0
weighted avg,0.3393043572580485,0.356625,0.3198345279449155,8000.0
