,precision,recall,f1-score,support
anger,0.0,0.0,0.0,22.0
boredom,0.0,0.0,0.0,36.0
empty,0.0,0.0,0.0,165.0
enthusiasm,0.0,0.0,0.0,152.0
fun,0.1111111111111111,0.008450704225352112,0.015706806282722512,355.0
happiness,0.3238578680203046,0.30614203454894434,0.3147508633448446,1042.0
hate,0.41333333333333333,0.1169811320754717,0.18235294117647058,265.0
love,0.479933110367893,0.3736979166666667,0.42020497803806733,768.0
neutral,0.328,0.5457175925925926,0.4097327829676298,1728.0
relief,0.20689655172413793,0.019672131147540985,0.03592814371257485,305.0
sadness,0.3731958762886598,0.17521781219748306,0.23847167325428195,1033.0
surprise,0.2631578947368421,0.02288329519450801,0.042105263157894736,437.0
worry,0.30632203981837236,0.5183215130023641,0.3850713501646542,1692.0
accuracy,0.332125,0.332125,0.332125,0.332125
macro avg,0.21583136810774262,0.1605449332039172,0.1572557540076262,8000.0
weighted avg,0.3129652481090263,0.332125,0.29248069551642036,8000.0
