,precision,recall,f1-score,support
anger,0.0,0.0,0.0,22.0
boredom,0.0,0.0,0.0,36.0
empty,0.0,0.0,0.0,165.0
enthusiasm,0.0,0.0,0.0,152.0
fun,0.28125,0.02535211267605634,0.046511627906976744,355.0
happiness,0.3300970873786408,0.3915547024952015,0.3582089552238806,1042.0
hate,0.4606741573033708,0.15471698113207547,0.23163841807909605,265.0
love,0.5306479859894921,0.39453125,0.4525765496639283,768.0
neutral,0.33672039243167484,0.5561342592592593,0.41946748144914886,1728.0
relief,0.3333333333333333,0.036065573770491806,0.0650887573964497,305.0
sadness,0.3637795275590551,0.22362052274927396,0.27697841726618705,1033.0
surprise,0.21951219512195122,0.020594965675057208,0.03765690376569038,437.0
worry,0.3496810207336523,0.5183215130023641,0.4176190476190476,1692.0
accuracy,0.35625,0.35625,0.35625,0.35625
macro avg,0.24659197691162854,0.17853014467382922,0.1773650891054158,8000.0
weighted avg,0.34003901163507555,0.35625,0.31907580121077134,8000.0
