,empty,sadness,enthusiasm,neutral,worry,surprise,love,fun,hate,happiness,boredom,relief,anger
empty,1.0,0.9901505708694458,0.990216076374054,0.9949220418930054,0.9919998645782471,0.9894975423812866,0.9835547208786011,0.9848566651344299,0.9823544025421143,0.9870877265930176,0.9914692640304565,0.9871875643730164,0.9904885292053223
sadness,0.9901505708694458,0.9999999403953552,0.9890341758728027,0.9912319779396057,0.9947398900985718,0.9892910122871399,0.9864927530288696,0.9833757877349854,0.9847998023033142,0.9861202239990234,0.9909248352050781,0.9870058298110962,0.9910259246826172
enthusiasm,0.990216076374054,0.9890341758728027,1.000000238418579,0.9935675263404846,0.991809070110321,0.9905545711517334,0.9906731247901917,0.9895970225334167,0.9762746095657349,0.9930232763290405,0.986863911151886,0.9884506464004517,0.987938642501831
neutral,0.9949220418930054,0.9912319779396057,0.9935675263404846,0.9999999403953552,0.9937796592712402,0.9910969734191895,0.988990068435669,0.9889870882034302,0.9803856015205383,0.9916760921478271,0.9899158477783203,0.9907612204551697,0.9902358055114746
worry,0.9919998645782471,0.9947398900985718,0.991809070110321,0.9937796592712402,0.9999999403953552,0.9909038543701172,0.9873244166374207,0.985638439655304,0.9840095043182373,0.9887440800666809,0.9906521439552307,0.9897820949554443,0.991856575012207
surprise,0.9894975423812866,0.9892910122871399,0.9905545711517334,0.9910969734191895,0.9909038543701172,1.0,0.9870326519012451,0.9864984750747681,0.9794077277183533,0.9899387359619141,0.9858143329620361,0.9866248965263367,0.9877479672431946
love,0.9835547208786011,0.9864927530288696,0.9906731247901917,0.988990068435669,0.9873244166374207,0.9870326519012451,1.0000001192092896,0.9880451560020447,0.9724438190460205,0.9921612739562988,0.9799579381942749,0.986922562122345,0.983686089515686
fun,0.9848566651344299,0.9833757877349854,0.9895970225334167,0.9889870882034302,0.985638439655304,0.9864984750747681,0.9880451560020447,0.9999999403953552,0.9718887805938721,0.9922802448272705,0.9807847738265991,0.9844088554382324,0.9834371209144592
hate,0.9823544025421143,0.9847998023033142,0.9762746095657349,0.9803856015205383,0.9840095043182373,0.9794077277183533,0.9724438190460205,0.9718887805938721,1.0,0.9723367094993591,0.9852896928787231,0.9742103815078735,0.9821678400039673
happiness,0.9870877265930176,0.9861202239990234,0.9930232763290405,0.9916760921478271,0.9887440800666809,0.9899387359619141,0.9921612739562988,0.9922802448272705,0.9723367094993591,1.0,0.9820114970207214,0.9903855323791504,0.9857572317123413
boredom,0.9914692640304565,0.9909248352050781,0.986863911151886,0.9899158477783203,0.9906521439552307,0.9858143329620361,0.9799579381942749,0.9807847738265991,0.9852896928787231,0.9820114970207214,1.000000238418579,0.9846107959747314,0.9883636832237244
relief,0.9871875643730164,0.9870058298110962,0.9884506464004517,0.9907612204551697,0.9897820949554443,0.9866248965263367,0.986922562122345,0.9844088554382324,0.9742103815078735,0.9903855323791504,0.9846107959747314,1.0,0.9869167804718018
anger,0.9904885292053223,0.9910259246826172,0.987938642501831,0.9902358055114746,0.991856575012207,0.9877479672431946,0.983686089515686,0.9834371209144592,0.9821678400039673,0.9857572317123413,0.9883636832237244,0.9869167804718018,1.0000001192092896
