,anger,boredom,empty,enthusiasm,fun,happiness,hate,love,neutral,relief,sadness,surprise,worry
anger,1.0,0.33894831556523636,0.3418102170348454,0.3416149533269955,0.36581875967601996,0.3863620210630064,0.38077403245942576,0.37168188797573737,0.40806001702964206,0.3670864069828255,0.3999943408651274,0.3748341008104543,0.41280058218683935
boredom,0.33894831556523636,1.0,0.3700862638333763,0.3665099786322874,0.37980420879946164,0.3949784815400532,0.3938826006101557,0.3834993893849526,0.40580115533022554,0.39281733899206306,0.4089432480507336,0.3829114124753734,0.4204425066018703
empty,0.3418102170348454,0.3700862638333763,1.0,0.33598107454481074,0.3377968941325078,0.3491589452421455,0.34399545926111064,0.33625965593878926,0.3644752968715313,0.34592715064620355,0.3562074301573494,0.33935397114795274,0.3643427853481893
enthusiasm,0.3416149533269955,0.3665099786322874,0.33598107454481074,1.0,0.3447384699694027,0.36358444584077904,0.3451642293210461,0.3578074283321311,0.3709406698203339,0.35921153915407744,0.3624698003528783,0.3484639958661784,0.3712432814089777
fun,0.36581875967601996,0.37980420879946164,0.3377968941325078,0.3447384699694027,1.0,0.35997536038560585,0.33844721607010586,0.34724564712091266,0.3511571738984369,0.35975623099731413,0.35076060787359575,0.3443450575613828,0.35452300576612966
happiness,0.3863620210630064,0.3949784815400532,0.3491589452421455,0.36358444584077904,0.35997536038560585,1.0,0.34235804000409,0.35024248762315047,0.3380937845819082,0.366675092312695,0.3461883547686767,0.34883458456587174,0.35011672456041953
hate,0.38077403245942576,0.3938826006101557,0.34399545926111064,0.3451642293210461,0.33844721607010586,0.34235804000409,1.0,0.3332225842784554,0.3579181193183993,0.3548101195134201,0.37302701979668274,0.34942283222294424,0.37837497693660527
love,0.37168188797573737,0.3834993893849526,0.33625965593878926,0.3578074283321311,0.34724564712091266,0.35024248762315047,0.3332225842784554,1.0,0.34094092576787727,0.35903080646134433,0.34333181795033274,0.34535503139500134,0.3462909412869454
neutral,0.40806001702964206,0.40580115533022554,0.3644752968715313,0.3709406698203339,0.3511571738984369,0.3380937845819082,0.3579181193183993,0.34094092576787727,1.0,0.3725454877838954,0.3471504579384827,0.3534540015578408,0.3505922347499181
relief,0.3670864069828255,0.39281733899206306,0.34592715064620355,0.35921153915407744,0.35975623099731413,0.366675092312695,0.3548101195134201,0.35903080646134433,0.3725454877838954,1.0,0.37265292421542423,0.3582724793075593,0.3780911355241338
sadness,0.3999943408651274,0.4089432480507336,0.3562074301573494,0.3624698003528783,0.35076060787359575,0.3461883547686767,0.37302701979668274,0.34333181795033274,0.3471504579384827,0.37265292421542423,1.0,0.3608422405170678,0.37374208241042417
surprise,0.3748341008104543,0.3829114124753734,0.33935397114795274,0.3484639958661784,0.3443450575613828,0.34883458456587174,0.34942283222294424,0.34535503139500134,0.3534540015578408,0.3582724793075593,0.3608422405170678,1.0,0.36493609102963576
worry,0.41280058218683935,0.4204425066018703,0.3643427853481893,0.3712432814089777,0.35452300576612966,0.35011672456041953,0.37837497693660527,0.3462909412869454,0.3505922347499181,0.3780911355241338,0.37374208241042417,0.36493609102963576,1.0
